model,target,train_size,mae,rmse,r2,spearman
lightgbm,AQ,200,0.07574837843495816,0.0958884994965546,0.7625061022020986,0.8903090913671058
lightgbm,HQ,200,0.07045369441995407,0.09062789979271405,0.6979355501940214,0.8609063657203315
lightgbm,VQ,200,0.049721275421626784,0.06199579219081456,0.6332878157151384,0.8183238028062575
random_forest,CQ,250,0.07040958446638082,0.09064035675827632,0.8514742147457799,0.9186437262261631
random_forest,AQ,250,0.06848416413073966,0.0872551903459729,0.8033463776568914,0.9174849484847722
random_forest,HQ,250,0.06604304980164884,0.0797328417144458,0.7661968974600034,0.8868831397838628
random_forest,VQ,250,0.05109604790724573,0.06082632800476077,0.6469923546396437,0.7998135879285589
mlp,CQ,250,0.08396472294907446,0.11482494719772808,0.7616412202373707,0.8819356626445323
mlp,AQ,250,0.07351039002240323,0.08763314426220205,0.8016390412476433,0.9083457188200621
mlp,HQ,250,0.08003003656828671,0.10288239267915196,0.6107237607413875,0.8154621256014308
mlp,VQ,250,0.07674734576773294,0.09433511585016771,0.15092180789145737,0.564087966345064
xgboost,CQ,250,0.06617629605914536,0.08456420591648836,0.8707198656263856,0.9279945587827797
xgboost,AQ,250,0.06558888467805135,0.08336317843892439,0.8204985588454008,0.9226137995314507
xgboost,HQ,250,0.06909521120504036,0.0847495412242834,0.7358500723442236,0.8561301861601632
xgboost,VQ,250,0.05084458776093878,0.06289253116828436,0.6226024646702183,0.7989772526891201
lightgbm,CQ,250,0.06910030822420432,0.0955159801559294,0.8350658001185686,0.9067637352948585
lightgbm,AQ,250,0.0740988982953805,0.09271708303717603,0.7779560575656244,0.8945713781897876
lightgbm,HQ,250,0.07023633194908274,0.09354274656640654,0.6781926056126155,0.8434541653021639
lightgbm,VQ,250,0.05380246298923706,0.06626721850308834,0.581015076266896,0.7875406201979999
random_forest,CQ,300,0.06547440665032496,0.08511269603903777,0.8690373845751183,0.9281658563619417
random_forest,AQ,300,0.06636222607905473,0.08382483845019632,0.8185049184986707,0.9170718190291458
random_forest,HQ,300,0.06762833467877948,0.08300053539993756,0.7466402791181891,0.8828223795249012
